title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3
Animal Crackers,1930,20640,8463,3,7.4,15240.0,97,Comedy,Family,Musical
Anna Christie,1930,20641,1326,3,6.6,3493.0,89,Drama,Romance,
"Bat Whispers, The",1930,20668,6782,3,6.3,1145.0,83,Crime,Drama,Horror
Be Yourself,1930,20670,4253,2,5.6,226.0,65,Comedy,Musical,
"Blue Angel, The",1930,20697,1315,1,7.7,16251.0,104,Drama,Music,
L&#39;Age d&#39;Or,1930,21577,3871,0,7.2,14778.0,60,Comedy,Drama,
Ladies of Leisure,1930,21040,3713,3,6.7,1382.0,99,Drama,Romance,
Min and Bill,1930,21148,3927,3,6.7,1893.0,69,Comedy,Drama,
Morocco,1930,21156,3865,1,7.0,7449.0,92,Drama,Romance,
Murder!,1930,21165,7291,3,6.3,6890.0,104,Crime,Mystery,Thriller
A Nous la Liberte,1931,22599,6031,1,7.4,4950.0,83,Comedy,Musical,
Anna Christie,1931,20642,1327,3,6.9,938.0,85,Drama,,
"Champ, The",1931,21730,9110,1,7.3,3605.0,86,Drama,Family,Sport
"Cheat, The",1931,21735,5741,3,6.3,827.0,74,Drama,Romance,
Cimarron,1931,21746,8467,3,5.8,6899.0,123,Drama,Western,
City Lights,1931,21749,2705,3,8.5,195534.0,87,Comedy,Drama,Romance
Dracula,1931,21814,1985,2,7.4,58417.0,75,Drama,Fantasy,Horror
Dracula,1931,21815,8213,3,7.0,5082.0,104,Drama,Fantasy,Horror
Frankenstein,1931,21884,1317,1,7.8,79452.0,70,Drama,Horror,Sci-Fi
Hyppolit a lakaj,1931,21985,8557,1,7.7,1751.0,72,Comedy,,
Indiscreet,1931,22000,1828,3,6.2,1545.0,92,Comedy,Musical,Romance
La Chienne,1931,21739,6030,3,7.5,4823.0,91,Crime,Drama,
"Last Flight, The",1931,22054,1956,0,6.9,1388.0,76,Drama,,
Little Caesar,1931,21079,6043,1,7.2,14459.0,79,Action,Crime,Drama
M,1931,22100,610,3,8.3,168027.0,117,Crime,Mystery,Thriller
M&auml;dchen in Uniform,1931,22183,628,3,7.6,3717.0,88,Drama,Romance,
Mata Hari,1931,23196,1333,3,6.6,3941.0,89,Crime,Drama,Romance
Monkey Business,1931,22158,2384,1,7.4,14262.0,77,Comedy,Family,Musical
Night Nurse,1931,22208,636,3,7.0,4478.0,72,Comedy,Crime,Drama
Pardon Us,1931,22251,1974,0,6.8,2808.0,56,Comedy,Crime,Drama
"Public Enemy, The",1931,22286,5934,3,7.6,22975.0,83,Crime,Drama,
Rich and Strange [East of Shanghai],1931,23395,7296,2,5.7,4883.0,110,Comedy,Drama,Romance
"Skin Game, The",1931,22395,7294,3,5.7,3543.0,85,Drama,,
Skippy,1931,22397,9095,3,6.3,989.0,85,Comedy,Drama,Family
"Smiling Lieutenant, The",1931,22074,4243,2,7.1,4105.0,93,Comedy,Musical,Romance
Tabu: A Story of the South Seas,1931,22458,1633,0,7.4,6368.0,86,Adventure,Drama,Romance
"Age of Consent, The",1932,22614,1983,2,6.0,431.0,63,Drama,Romance,
"Bitter Tea of General Yen, The",1932,23814,10705,3,6.9,4294.0,88,Drama,Romance,War
"Blue Light (Das Blaue Licht), The",1932,22694,6990,1,6.8,1383.0,85,Drama,Fantasy,Mystery
Boudu Saved from Drowning,1932,22718,2767,1,7.2,6186.0,85,Comedy,,
"Death Kiss, The",1932,23935,6176,1,6.0,1409.0,75,Comedy,Crime,Drama
Freaks,1932,22913,3659,2,7.8,50449.0,64,Drama,Horror,
"Girl from Calgary, The",1932,22940,5783,2,5.4,93.0,64,Comedy,Musical,
Grand Hotel,1932,22958,1328,3,7.3,20815.0,112,Drama,Romance,
Horse Feathers,1932,23027,2383,1,7.5,13380.0,68,Comedy,Family,Musical
I Am a Fugitive from a Chain Gang,1932,23042,1318,1,8.2,14397.0,92,Crime,Drama,Film-Noir
"I Was Born, But...",1932,23634,3530,1,7.9,6187.0,90,Comedy,Drama,
Island of Lost Souls,1932,24188,3844,1,7.4,10859.0,70,Film-Noir,Horror,Sci-Fi
Love Me Tonight,1932,23158,6052,2,7.5,4615.0,104,Comedy,Musical,Romance
Merrily We Go to Hell,1932,23213,5742,3,6.9,1924.0,83,Comedy,Drama,Romance
"Most Dangerous Game, The",1932,23238,3658,0,7.1,13960.0,63,Action,Adventure,Horror
Number 17,1932,23285,7301,0,5.7,5411.0,66,Crime,Mystery,Thriller
"Old Dark House, The",1932,23293,4775,3,7.0,13058.0,72,Adventure,Comedy,Drama
Red-Headed Woman,1932,23385,6092,3,7.0,3527.0,79,Comedy,Drama,Romance
Scarface,1932,23427,6063,1,7.7,30218.0,93,Action,Crime,Drama
Shanghai Express,1932,23458,5929,3,7.3,10283.0,82,Adventure,Drama,Film-Noir
Thirteen Women,1932,23582,6852,3,6.2,1845.0,73,Crime,Drama,Horror
Three on a Match,1932,23590,6051,3,7.1,4367.0,63,Crime,Drama,Romance
Vampyr,1932,23649,5910,3,7.4,20456.0,75,Fantasy,Horror,
White Zombie,1932,23694,2550,0,6.2,11621.0,69,Horror,,
42nd Street,1933,24034,4335,3,7.3,13011.0,89,Comedy,Drama,Musical
A Study in Scarlet,1933,24625,6193,3,5.6,1187.0,72,Mystery,Thriller,
Alice in Wonderland,1933,23753,3188,3,6.3,2600.0,76,Adventure,Family,Fantasy
Baby Face,1933,23775,7528,3,7.5,8122.0,71,Drama,Romance,
Cavalcade,1933,23876,8477,3,5.8,5951.0,112,Drama,Romance,War
Day of Reckoning,1933,23932,5029,3,6.4,276.0,69,Drama,,
Design for Living,1933,23940,8346,1,7.4,7728.0,91,Comedy,Mystery,Romance
Duck Soup,1933,23969,5185,1,7.7,62651.0,69,Comedy,Musical,
